spanish,english,domain,collocations
el aliáceo,allium/garlicky,food,sabor aliáceo; toque aliáceo; familia de los aliáceos; perfil aliáceo
la pinza,dart,clothing,hacer una pinza; coser la pinza; marcar la pinza; abrir la pinza
la entretela,interlining,clothing,aplicar la entretela; reforzar con entretela; fijar la entretela; elegir la entretela
el pespunte,topstitch,clothing,hacer un pespunte; reforzar el pespunte; disimular el pespunte; rematar el pespunte
la sisa,armhole,clothing,ajustar la sisa; entallar la sisa; medir la sisa; ampliar la sisa
el forro,lining,clothing,poner un forro; sustituir el forro; rasgar el forro; descoser el forro
la solapa,lapel,clothing,planchar la solapa; ensanchar la solapa; marcar la solapa; estructurar la solapa
el ojal,buttonhole,clothing,abrir el ojal; rematar el ojal; reforzar el ojal; coser el ojal
la hombrera,shoulder pad,clothing,colocar la hombrera; quitar la hombrera; ajustar la hombrera; fijar la hombrera
la hechura,cut/shape,clothing,modificar la hechura; revisar la hechura; definir la hechura; mejorar la hechura
la horma,shoe last,clothing,adaptar a la horma; ensanchar la horma; forzar la horma; elegir la horma
el tacón,heel,clothing,cambiar el tacón; reparar el tacón; rebajar el tacón; tapar el tacón
la suela,sole,clothing,pegar la suela; cambiar la suela; desgastar la suela; reforzar la suela
el empeine,instep/upper,clothing,ajustar el empeine; ensanchar el empeine; proteger el empeine; limpiar el empeine
el cordón,shoelace,clothing,atar el cordón; tensar el cordón; sustituir el cordón; anudar el cordón
el suavizante,fabric softener,clothing,añadir el suavizante; dosificar el suavizante; usar el suavizante; elegir el suavizante
la secadora,tumble dryer,clothing,vaciar la secadora; limpiar la secadora; utilizar la secadora; obstruir la secadora
la lejía,bleach,clothing,aplicar la lejía; diluir la lejía; evitar la lejía; usar la lejía
el detergente,detergent,clothing,medir el detergente; verter el detergente; elegir el detergente; dosificar el detergente
la colada,laundry load,clothing,hacer la colada; tender la colada; clasificar la colada; recoger la colada
el tendedero,drying rack,clothing,desplegar el tendedero; cargar el tendedero; colocar el tendedero; vaciar el tendedero
la tintorería,dry cleaner,clothing,llevar a la tintorería; recoger de la tintorería; gestionar la tintorería; recomendar la tintorería
la mancha,stain,clothing,quitar la mancha; tratar la mancha; disimular la mancha; prevenir la mancha
el descosido,rip/unstitched,clothing,arreglar el descosido; reparar el descosido; disimular el descosido; revisar el descosido
el remiendo,patch,clothing,hacer un remiendo; poner un remiendo; disimular el remiendo; reforzar el remiendo
el talle,waistline,clothing,ajustar el talle; marcar el talle; entallar el talle; subir el talle
la holgura,looseness/ease,clothing,dar holgura; ajustar la holgura; medir la holgura; reducir la holgura
la arruga,wrinkle,clothing,eliminar la arruga; planchar la arruga; evitar la arruga; marcar la arruga
la fibra,fiber,clothing,tratar la fibra; dañar la fibra; teñir la fibra; mezclar la fibra
la seda,silk,clothing,lavar la seda; cuidar la seda; proteger la seda; planchar la seda
el lino,linen,clothing,planchar el lino; arrugar el lino; tratar el lino; limpiar el lino
la lana,wool,clothing,lavar la lana; encoger la lana; cepillar la lana; airear la lana
el poliéster,polyester,clothing,lavar el poliéster; planchar el poliéster; tratar el poliéster; teñir el poliéster
el terciopelo,velvet,clothing,cepillar el terciopelo; limpiar el terciopelo; cuidar el terciopelo; planchar el terciopelo
el encaje,lace,clothing,coser el encaje; aplicar el encaje; rematar el encaje; lavar el encaje
el cuero,leather,clothing,hidratar el cuero; limpiar el cuero; pulir el cuero; proteger el cuero
el ante,suede,clothing,cepillar el ante; limpiar el ante; proteger el ante; impermeabilizar el ante
el bordado,embroidery,clothing,hacer el bordado; rematar el bordado; limpiar el bordado; lucir el bordado
el reembolso,refund,clothing,solicitar el reembolso; tramitar el reembolso; recibir el reembolso; denegar el reembolso
el vale,voucher/credit,clothing,canjear el vale; emitir el vale; caducar el vale; aceptar el vale
el maniquí,mannequin,clothing,vestir el maniquí; colocar el maniquí; renovar el maniquí; exhibir en el maniquí
el surtido,assortment,clothing,ampliar el surtido; renovar el surtido; gestionar el surtido; presentar el surtido
el patrón,pattern/template,clothing,diseñar el patrón; calcar el patrón; modificar el patrón; ajustar el patrón
la costura,seam/sewing,clothing,abrir la costura; reforzar la costura; rematar la costura; coser la costura
el hilo,thread,clothing,enhebrar el hilo; cortar el hilo; elegir el hilo; romper el hilo
la aguja,needle,clothing,enhebrar la aguja; elegir la aguja; cambiar la aguja; perder la aguja
el dedal,thimble,clothing,usar el dedal; perder el dedal; elegir el dedal; buscar el dedal
la tijera,scissors,clothing,afilar la tijera; usar la tijera; guardar la tijera; limpiar la tijera
la tiza,tailor's chalk,clothing,marcar con tiza; borrar la tiza; elegir la tiza; usar la tiza
el alfiler,pin,clothing,clavar el alfiler; perder el alfiler; recoger el alfiler; usar el alfiler
la hebilla,buckle,clothing,abrochar la hebilla; ajustar la hebilla; reparar la hebilla; soltar la hebilla
el corchete,hook and eye,clothing,coser el corchete; abrochar el corchete; sustituir el corchete; ajustar el corchete
el velcro,velcro,clothing,pegar el velcro; despegar el velcro; limpiar el velcro; sustituir el velcro
el lazo,ribbon/bow,clothing,atar el lazo; deshacer el lazo; ajustar el lazo; colocar el lazo
la anamnesis,medical history,health,realizar la anamnesis; completar la anamnesis; detallar la anamnesis
el cuadro clínico,clinical presentation,health,presentar el cuadro clínico; evaluar el cuadro clínico; complicar el cuadro clínico
la cefalea,headache,health,padecer una cefalea; mitigar la cefalea; describir la cefalea
la erupción,rash,health,presentar una erupción; observar la erupción; extenderse la erupción
la interconsulta,referral,health,solicitar una interconsulta; gestionar la interconsulta; derivar a interconsulta
el seguimiento,follow-up,health,realizar el seguimiento; garantizar el seguimiento; programar el seguimiento
el ingreso,hospital admission,health,tramitar el ingreso; programar el ingreso; recibir el ingreso
el alta voluntaria,self-discharge,health,firmar el alta voluntaria; solicitar el alta voluntaria; tramitar el alta voluntaria
el copago,co-payment,health,abonar el copago; eximir del copago; ajustar el copago
el baremo,scale/fee schedule,health,aplicar el baremo; consultar el baremo; modificar el baremo
la dosificación,dosing,health,ajustar la dosificación; controlar la dosificación; reducir la dosificación
el efecto adverso,adverse effect,health,notificar el efecto adverso; sufrir el efecto adverso; evitar el efecto adverso
la biopsia,biopsy,health,realizar la biopsia; analizar la biopsia; programar la biopsia
la ecografía,ultrasound,health,practicar la ecografía; solicitar la ecografía; interpretar la ecografía
la resonancia,MRI,health,realizar una resonancia; programar la resonancia; analizar la resonancia
el parte médico,medical report,health,firmar el parte médico; solicitar el parte médico; rellenar el parte médico
la mutua,insurance carrier,health,contactar con la mutua; notificar a la mutua; consultar la mutua
el triaje,triage,health,realizar el triaje; pasar el triaje; gestionar el triaje
la urgencia hospitalaria,hospital emergency,health,acudir a urgencias; gestionar la urgencia; atender la urgencia
la especialidad,specialty,health,elegir la especialidad; cursar la especialidad; ejercer la especialidad
la radiografía,X-ray,health,hacer una radiografía; interpretar la radiografía; solicitar la radiografía
la cronicidad,chronicity,health,tratar la cronicidad; gestionar la cronicidad; índice de cronicidad
la profilaxis,prophylaxis,health,aplicar profilaxis; riesgo de profilaxis; necesidad de profilaxis
la derivación,referral,health,solicitar derivación; gestionar derivación; espera de derivación
la hospitalización,hospitalization,health,requerir hospitalización; duración de la hospitalización; proceso de hospitalización
la inmunización,immunization,health,completar inmunización; calendario de inmunización; registro de inmunización
el extravío,loss/misplacement,travel,denunciar el extravío; reclamar por el extravío; prevenir el extravío
la denegación,denial/refusal,travel,la denegación del embarque; la denegación de visado; recurrir una denegación
la reubicación,relocation/rebooking,travel,gestionar la reubicación; solicitar una reubicación; la reubicación inmediata
el traslado,transfer,travel,coordinar el traslado; el traslado privado; el punto de traslado
la restricción,restriction,travel,imponer una restricción; levantar una restricción; la restricción sanitaria
la compensación,compensation/reimbursement,travel,la compensación económica; recibir una compensación; la oferta de compensación
el seguro,insurance,travel,contratar un seguro; la cobertura del seguro; el parte del seguro
la identificación,identification,travel,exhibir la identificación; la identificación oficial; la verificación de la identificación
el sobrecoste,extra cost,travel,evitar el sobrecoste; asumir el sobrecoste; el sobrecoste imprevisto
la disponibilidad,availability,travel,consultar la disponibilidad; la disponibilidad limitada; la confirmación de disponibilidad
la limpieza,cleaning,travel,el servicio de limpieza; la limpieza profunda; la deficiencia en la limpieza
la climatización,climate control,travel,ajustar la climatización; la avería de la climatización; el sistema de climatización
el depósito,deposit/storage,travel,el depósito de equipaje; el depósito de seguridad; el depósito de llaves
el robo,theft,travel,el robo en la habitación; la denuncia por robo; la prevención del robo
la dotación,endowment/equipment,travel,la dotación de recursos; la dotación presupuestaria; la falta de dotación
la declaración,declaration,travel,presentar la declaración; omisión en la declaración; firmar la declaración; veracidad de la declaración
la disposición,disposition/provision,travel,estar a disposición; cumplir la disposición; sujeto a disposición; cambio de disposición
la ratificación,ratification,travel,confirmar la ratificación; necesitar la ratificación; proceso de ratificación; documento de ratificación
la autenticidad,authenticity,travel,verificar la autenticidad; dudar de la autenticidad; garantizar la autenticidad; prueba de autenticidad
el requerimiento,requirement,travel,cumplir el requerimiento; notificar el requerimiento; plazo del requerimiento; atender el requerimiento
la formalidad,formality,travel,cumplir la formalidad; exigir la formalidad; evitar la formalidad; exceso de formalidad
la penalización,penalty,travel,aplicar la penalización; evitar la penalización; reclamar la penalización; sufrir la penalización
la acomodación,accommodation,travel,gestionar la acomodación; confirmar la acomodación; solicitar la acomodación; asignar la acomodación
el billete,ticket,travel,validar el billete; anular el billete; canjear el billete; imprimir el billete
el percance,mishap,travel,sufrir el percance; notificar el percance; evitar el percance; gestionar el percance
la tarjeta de transporte,transport card,transport,recargar la tarjeta de transporte; extraviar la tarjeta de transporte; validar la tarjeta de transporte; bonificar la tarjeta de transporte
el abono mensual,monthly pass,transport,tramitar el abono mensual; renovar el abono mensual; cancelar el abono mensual; subvencionar el abono mensual
el convoy ferroviario,rail convoy,transport,detener el convoy ferroviario; descarrilar el convoy ferroviario; inspeccionar el convoy ferroviario; composición del convoy ferroviario
la terminal de carga,freight terminal,transport,gestionar la terminal de carga; colapso en la terminal de carga; automatizar la terminal de carga; ampliación de la terminal de carga
el aforo permitido,permitted capacity,transport,superar el aforo permitido; controlar el aforo permitido; reducir el aforo permitido; exceder el aforo permitido
la electrificación ferroviaria,rail electrification,transport,proyectos de electrificación ferroviaria; extender la electrificación ferroviaria; coste de la electrificación ferroviaria; fases de la electrificación ferroviaria
el andén de pasajeros,passenger platform,transport,acceder al andén de pasajeros; despejar el andén de pasajeros; ampliar el andén de pasajeros; señalizar el andén de pasajeros
la gratuidad del servicio,service free of charge,transport,aplicar la gratuidad del servicio; limitar la gratuidad del servicio; financiar la gratuidad del servicio; evaluar la gratuidad del servicio
la ficha técnica,data sheet,transport,consultar la ficha técnica; actualizar la ficha técnica; cumplimentar la ficha técnica; omisión en la ficha técnica
el permiso de circulación,driving permit,transport,solicitar el permiso de circulación; suspender el permiso de circulación; validez del permiso de circulación; renovación del permiso de circulación
el documento de identidad,ID document,transport,exhibir el documento de identidad; verificar el documento de identidad; extravío del documento de identidad; fotocopia del documento de identidad
el seguro obligatorio,mandatory insurance,transport,suscribir el seguro obligatorio; incumplir el seguro obligatorio; cobertura del seguro obligatorio; prima del seguro obligatorio
el parte amistoso,accident report,transport,rellenar el parte amistoso; firmar el parte amistoso; entregar el parte amistoso; discrepancia en el parte amistoso
el atasco circulatorio,traffic jam,transport,sortear el atasco circulatorio; evitar el atasco circulatorio; desviar el atasco circulatorio; retención en el atasco circulatorio
el carril bus,bus lane,transport,invadir el carril bus; sanción por el carril bus; acceso al carril bus; señalizar el carril bus
el estacionamiento regulado,regulated parking,transport,gestionar el estacionamiento regulado; tarifa del estacionamiento regulado; ampliar el estacionamiento regulado; infringir el estacionamiento regulado
el vado permanente,permanent curb cut,transport,solicitar el vado permanente; señalizar el vado permanente; respetar el vado permanente; renovar el vado permanente
la plaza de movilidad reducida,disabled parking space,transport,bloquear la plaza de movilidad reducida; respetar la plaza de movilidad reducida; señalizar la plaza de movilidad reducida; habilitar la plaza de movilidad reducida
la grúa municipal,tow truck,transport,retirada por la grúa municipal; llamar a la grúa municipal; custodia de la grúa municipal; tasa de la grúa municipal
el navegador,GPS/navigator,transport,programar el navegador; actualizar el navegador; fallo del navegador; seguir el navegador
la ruta alternativa,alternative route,transport,trazar la ruta alternativa; desviar por la ruta alternativa; conocer la ruta alternativa; optimizar la ruta alternativa
el punto kilométrico,mile marker,transport,localizar el punto kilométrico; accidente en el punto kilométrico; referencia del punto kilométrico; señalizar el punto kilométrico
la cartografía digital,digital cartography,transport,desarrollar la cartografía digital; precisión de la cartografía digital; actualizar la cartografía digital; uso de la cartografía digital
el desvío provisional,temporary detour,transport,indicar el desvío provisional; señalizar el desvío provisional; respetar el desvío provisional; finalizar el desvío provisional
el sistema de posicionamiento,positioning system,transport,calibrar el sistema de posicionamiento; fallo del sistema de posicionamiento; precisión del sistema de posicionamiento; gestionar el sistema de posicionamiento
el albarán,delivery note,transport,firmar el albarán; revisar el albarán; confeccionar el albarán; pérdida del albarán
la carga útil,payload,transport,exceder la carga útil; verificar la carga útil; limitar la carga útil; distribuir la carga útil
la mercancía peligrosa,hazardous goods,transport,transportar mercancía peligrosa; etiquetar mercancía peligrosa; protocolo de mercancía peligrosa; riesgo de mercancía peligrosa
el contenedor marítimo,shipping container,transport,estibar el contenedor marítimo; precintar el contenedor marítimo; alquilar el contenedor marítimo; gestionar el contenedor marítimo
el palé,pallet,transport,cargar el palé; apilar el palé; daños en el palé; dimensiones del palé
el transitario,freight forwarder,transport,contratar al transitario; gestión del transitario; instrucciones del transitario; pagos al transitario
el arancel,tariff,transport,pagar el arancel; exención del arancel; revisar el arancel; incremento del arancel
la estiba,stowage,transport,realizar la estiba; problemas de estiba; seguridad en la estiba; supervisar la estiba
el manifiesto de carga,cargo manifest,transport,elaborar el manifiesto de carga; revisar el manifiesto de carga; entregar el manifiesto de carga; errores en el manifiesto de carga
la flota de vehículos,vehicle fleet,transport,renovar la flota de vehículos; gestionar la flota de vehículos; mantenimiento de la flota de vehículos; seguro de la flota de vehículos
el tacógrafo,tachograph,transport,instalar el tacógrafo; manipular el tacógrafo; revisar el tacógrafo; datos del tacógrafo
el descanso obligatorio,mandatory rest,transport,respetar el descanso obligatorio; incumplir el descanso obligatorio; controlar el descanso obligatorio; garantizar el descanso obligatorio
la infracción grave,serious offense,transport,cometer una infracción grave; sanción por infracción grave; reincidencia en infracción grave; notificar una infracción grave
la retirada del permiso,license suspension,transport,notificar la retirada del permiso; recurso contra la retirada del permiso; causa de retirada del permiso; duración de la retirada del permiso
el punto de recarga,charging point,transport,instalar el punto de recarga; localizar el punto de recarga; avería en el punto de recarga; uso del punto de recarga
la autonomía del vehículo,vehicle range,transport,ampliar la autonomía del vehículo; limitar la autonomía del vehículo; verificar la autonomía del vehículo; calcular la autonomía del vehículo
la placa de matrícula,license plate,transport,duplicar la placa de matrícula; limpiar la placa de matrícula; robo de la placa de matrícula; falsificar la placa de matrícula
el airbag,airbag,transport,desplegar el airbag; fallo del airbag; revisión del airbag; activación del airbag
el retrovisor,rearview mirror,transport,ajustar el retrovisor; golpear el retrovisor; romper el retrovisor; limpiar el retrovisor
el intermitente,turn signal,transport,señalizar con el intermitente; fallo del intermitente; olvidar el intermitente; activar el intermitente
el neumático,tire,transport,cambiar el neumático; presión del neumático; desgaste del neumático; pinchazo en el neumático
la frenada de emergencia,emergency braking,transport,realizar la frenada de emergencia; sistema de frenada de emergencia; peligro por frenada de emergencia; respuesta tras frenada de emergencia
la distancia de seguridad,safe distance,transport,mantener la distancia de seguridad; respetar la distancia de seguridad; reducir la distancia de seguridad; incumplir la distancia de seguridad
la señal de stop,stop sign,transport,respetar la señal de stop; ignorar la señal de stop; visibilidad de la señal de stop; multa por la señal de stop
el límite de velocidad,speed limit,transport,exceder el límite de velocidad; respetar el límite de velocidad; reducir el límite de velocidad; multa por el límite de velocidad
la vía rápida,expressway,transport,acceder a la vía rápida; circular por la vía rápida; peaje de la vía rápida; salida de la vía rápida
el arcén,shoulder,transport,detenerse en el arcén; circular por el arcén; obstáculo en el arcén; limpiar el arcén
la mediana,median strip,transport,saltar la mediana; reparar la mediana; colisión con la mediana; señalizar la mediana
el túnel,tunnel,transport,iluminación del túnel; atasco en el túnel; salida del túnel; seguridad en el túnel
el radar,speed camera,transport,detectar el radar; evitar el radar; multa del radar; ubicación del radar
la emancipación,emancipation,family,lograr la emancipación; retrasar la emancipación; fomentar la emancipación
la brecha generacional,generation gap,family,superar la brecha generacional; agudizar la brecha generacional; marcar la brecha generacional
el cuidado compartido,shared care,family,ejercer el cuidado compartido; establecer el cuidado compartido; abogar por el cuidado compartido
la tutela legal,legal guardianship,family,solicitar la tutela legal; asumir la tutela legal; revocar la tutela legal
el parentesco,kinship,family,acreditar el parentesco; reconocer el parentesco; demostrar el parentesco
la carga mental,mental load,family,soportar la carga mental; aliviar la carga mental; gestionar la carga mental
la disfunción familiar,family dysfunction,family,detectar la disfunción familiar; ocultar la disfunción familiar; tratar la disfunción familiar
la custodia compartida,joint custody,family,solicitar la custodia compartida; otorgar la custodia compartida; establecer la custodia compartida
la sobreprotección,overprotection,family,evitar la sobreprotección; combatir la sobreprotección; ejercer la sobreprotección
la dependencia afectiva,emotional dependency,family,superar la dependencia afectiva; sufrir la dependencia afectiva; identificar la dependencia afectiva
el conflicto intergeneracional,intergenerational conflict,family,gestionar el conflicto intergeneracional; mediar en el conflicto intergeneracional; evitar el conflicto intergeneracional
la mediación familiar,family mediation,family,solicitar la mediación familiar; acudir a la mediación familiar; iniciar la mediación familiar
la responsabilidad parental,parental responsibility,family,asumir la responsabilidad parental; delegar la responsabilidad parental; incumplir la responsabilidad parental
el vínculo afectivo,emotional bond,family,fortalecer el vínculo afectivo; crear el vínculo afectivo; romper el vínculo afectivo
la delegación de funciones,delegation of tasks,family,proponer la delegación de funciones; organizar la delegación de funciones; aceptar la delegación de funciones
el apoyo emocional,emotional support,family,brindar el apoyo emocional; solicitar el apoyo emocional; necesitar el apoyo emocional
la jerarquía familiar,family hierarchy,family,cuestionar la jerarquía familiar; mantener la jerarquía familiar; respetar la jerarquía familiar
el régimen de visitas,visitation schedule,family,establecer el régimen de visitas; incumplir el régimen de visitas; modificar el régimen de visitas
la emancipación temprana,early emancipation,family,fomentar la emancipación temprana; evitar la emancipación temprana; analizar la emancipación temprana
el cuidado diurno,day care,family,contratar el cuidado diurno; organizar el cuidado diurno; gestionar el cuidado diurno
la conciliación laboral,work-family balance,family,exigir la conciliación laboral; garantizar la conciliación laboral; limitar la conciliación laboral
el distanciamiento,estrangement,family,sufrir el distanciamiento; provocar el distanciamiento; reparar el distanciamiento
la crianza respetuosa,respectful parenting,family,practicar la crianza respetuosa; promover la crianza respetuosa; adoptar la crianza respetuosa
el lazo consanguíneo,blood tie,family,demostrar el lazo consanguíneo; reconocer el lazo consanguíneo; valorar el lazo consanguíneo
el desahogo,emotional release,family,necesitar el desahogo; permitir el desahogo; buscar el desahogo
la crisis de pareja,couple crisis,family,superar la crisis de pareja; afrontar la crisis de pareja; gestionar la crisis de pareja
el apoyo logístico,logistical support,family,brindar el apoyo logístico; requerir el apoyo logístico; organizar el apoyo logístico
la ruptura matrimonial,marital breakdown,family,anunciar la ruptura matrimonial; gestionar la ruptura matrimonial; evitar la ruptura matrimonial
la flexibilidad horaria,flexible scheduling,family,solicitar la flexibilidad horaria; negociar la flexibilidad horaria; conceder la flexibilidad horaria
el bienestar emocional,emotional well-being,family,proteger el bienestar emocional; priorizar el bienestar emocional; garantizar el bienestar emocional
la comunicación asertiva,assertive communication,family,fomentar la comunicación asertiva; practicar la comunicación asertiva; mejorar la comunicación asertiva
la resolución de conflictos,conflict resolution,family,facilitar la resolución de conflictos; aprender la resolución de conflictos; aplicar la resolución de conflictos
el apoyo mutuo,mutual support,family,fomentar el apoyo mutuo; brindar el apoyo mutuo; fortalecer el apoyo mutuo
la toma de decisiones,decision making,family,participar en la toma de decisiones; compartir la toma de decisiones; agilizar la toma de decisiones
la corresponsabilidad doméstica,shared household responsibility,family,exigir la corresponsabilidad doméstica; fomentar la corresponsabilidad doméstica; asumir la corresponsabilidad doméstica
la gestión del tiempo,time management,family,mejorar la gestión del tiempo; optimizar la gestión del tiempo; desarrollar la gestión del tiempo
el diálogo abierto,open dialogue,family,mantener el diálogo abierto; fomentar el diálogo abierto; iniciar el diálogo abierto
la corresponsabilidad parental,shared parental responsibility,family,asumir la corresponsabilidad parental; ejercer la corresponsabilidad parental; exigir la corresponsabilidad parental
el acuerdo mutuo,mutual agreement,family,llegar al acuerdo mutuo; firmar el acuerdo mutuo; respetar el acuerdo mutuo
la mediación externa,external mediation,family,solicitar la mediación externa; contratar la mediación externa; aceptar la mediación externa
el apoyo asistencial,care support,family,brindar el apoyo asistencial; recibir el apoyo asistencial; gestionar el apoyo asistencial
la planificación familiar,family planning,family,discutir la planificación familiar; organizar la planificación familiar; revisar la planificación familiar
el respeto mutuo,mutual respect,family,fomentar el respeto mutuo; mantener el respeto mutuo; exigir el respeto mutuo
la adaptación,adaptation,family,facilitar la adaptación; superar la adaptación; gestionar la adaptación
la gestión de crisis,crisis management,family,aplicar la gestión de crisis; aprender la gestión de crisis; mejorar la gestión de crisis
la negociación,negotiation,family,iniciar la negociación; facilitar la negociación; cerrar la negociación
la matriculación,enrollment,education,formalizar la matriculación; abrir la matriculación; completar la matriculación; gestionar la matriculación
la asignatura,subject,education,cursar la asignatura; aprobar la asignatura; suspender la asignatura; impartir la asignatura
la convocatoria,call/announcement,education,publicar la convocatoria; abrir la convocatoria; cerrar la convocatoria; superar la convocatoria
la evaluación,evaluation,education,superar la evaluación; realizar la evaluación; completar la evaluación; revisar la evaluación
la calificación,grade/mark,education,obtener la calificación; revisar la calificación; impugnar la calificación; publicar la calificación
la becaria,scholarship holder,education,contratar a la becaria; formar a la becaria; evaluar a la becaria; supervisar a la becaria
el aula,classroom,education,habilitar el aula; reservar el aula; limpiar el aula; acondicionar el aula
la materia,subject matter,education,impartir la materia; estudiar la materia; dominar la materia; revisar la materia
el alumnado,student body,education,representar al alumnado; atender al alumnado; motivar al alumnado; evaluar al alumnado
el cupo,quota,education,limitar el cupo; ampliar el cupo; cubrir el cupo; gestionar el cupo
el periodo,period/term,education,iniciar el periodo; finalizar el periodo; prorrogar el periodo; establecer el periodo
la secretaría,registrar's office,education,acudir a la secretaría; llamar a la secretaría; gestionar en la secretaría; contactar con la secretaría
la plaza,spot/position,education,solicitar la plaza; obtener la plaza; perder la plaza; reservar la plaza
la acreditación oficial,official accreditation,education,obtener la acreditación oficial; renovar la acreditación oficial; presentar la acreditación oficial; verificar la acreditación oficial
el material didáctico,didactic material,education,elaborar el material didáctico; actualizar el material didáctico; distribuir el material didáctico; seleccionar el material didáctico
el soporte bibliográfico,bibliographic support,education,consultar el soporte bibliográfico; ampliar el soporte bibliográfico; actualizar el soporte bibliográfico; revisar el soporte bibliográfico
el repositorio digital,digital repository,education,acceder al repositorio digital; alimentar el repositorio digital; gestionar el repositorio digital; consultar el repositorio digital
la guía docente,teaching guide,education,redactar la guía docente; publicar la guía docente; seguir la guía docente; modificar la guía docente
la plataforma virtual,virtual platform,education,acceder a la plataforma virtual; gestionar la plataforma virtual; actualizar la plataforma virtual; integrar la plataforma virtual
el software educativo,educational software,education,instalar el software educativo; utilizar el software educativo; evaluar el software educativo; licenciar el software educativo
el manual de usuario,user manual,education,consultar el manual de usuario; redactar el manual de usuario; distribuir el manual de usuario; actualizar el manual de usuario
la base documental,documentary base,education,ampliar la base documental; revisar la base documental; organizar la base documental; gestionar la base documental
el acceso remoto,remote access,education,configurar el acceso remoto; facilitar el acceso remoto; restringir el acceso remoto; probar el acceso remoto
el entorno virtual,virtual environment,education,crear el entorno virtual; gestionar el entorno virtual; acceder al entorno virtual; dinamizar el entorno virtual
la licencia de uso,usage license,education,adquirir la licencia de uso; renovar la licencia de uso; incumplir la licencia de uso; gestionar la licencia de uso
el formato descargable,downloadable format,education,ofrecer el formato descargable; habilitar el formato descargable; optimizar el formato descargable; verificar el formato descargable
la retroalimentación,feedback,education,ofrecer la retroalimentación; recibir la retroalimentación; analizar la retroalimentación; incorporar la retroalimentación
la evaluación continua,continuous assessment,education,realizar la evaluación continua; aplicar la evaluación continua; seguir la evaluación continua; superar la evaluación continua
el criterio de calificación,grading criterion,education,establecer el criterio de calificación; explicar el criterio de calificación; modificar el criterio de calificación; aplicar el criterio de calificación
la rúbrica de evaluación,evaluation rubric,education,diseñar la rúbrica de evaluación; aplicar la rúbrica de evaluación; consultar la rúbrica de evaluación; ajustar la rúbrica de evaluación
el informe de progreso,progress report,education,emitir el informe de progreso; enviar el informe de progreso; revisar el informe de progreso; analizar el informe de progreso
la tutoría personalizada,personalized tutoring,education,solicitar la tutoría personalizada; ofrecer la tutoría personalizada; realizar la tutoría personalizada; agendar la tutoría personalizada
el cuestionario de satisfacción,satisfaction survey,education,rellenar el cuestionario de satisfacción; analizar el cuestionario de satisfacción; distribuir el cuestionario de satisfacción; diseñar el cuestionario de satisfacción
el plazo de solicitud,application deadline,education,respetar el plazo de solicitud; ampliar el plazo de solicitud; cerrar el plazo de solicitud; incumplir el plazo de solicitud
la instancia oficial,official application form,education,presentar la instancia oficial; rellenar la instancia oficial; tramitar la instancia oficial; denegar la instancia oficial
la documentación adjunta,attached documentation,education,revisar la documentación adjunta; presentar la documentación adjunta; verificar la documentación adjunta; completar la documentación adjunta
el requisito de acceso,admission requirement,education,cumplir el requisito de acceso; justificar el requisito de acceso; eximir el requisito de acceso; verificar el requisito de acceso
la carta de motivación,motivation letter,education,redactar la carta de motivación; presentar la carta de motivación; evaluar la carta de motivación; adjuntar la carta de motivación
el certificado de notas,grade transcript,education,solicitar el certificado de notas; legalizar el certificado de notas; traducir el certificado de notas; presentar el certificado de notas
el título habilitante,qualifying degree,education,obtener el título habilitante; presentar el título habilitante; homologar el título habilitante; validar el título habilitante
la acreditación de méritos,merit accreditation,education,presentar la acreditación de méritos; valorar la acreditación de méritos; verificar la acreditación de méritos; adjuntar la acreditación de méritos
la resolución de admisión,admission decision,education,notificar la resolución de admisión; recibir la resolución de admisión; impugnar la resolución de admisión; acatar la resolución de admisión
la matrícula de honor,honors distinction,education,obtener la matrícula de honor; conceder la matrícula de honor; reclamar la matrícula de honor; registrar la matrícula de honor
el registro de asistencia,attendance record,education,firmar el registro de asistencia; controlar el registro de asistencia; actualizar el registro de asistencia; revisar el registro de asistencia
el canon,the royalty/fee,media,abonar el canon; devengar el canon; exigir el canon; recaudar el canon
la sinopsis,the synopsis,media,redactar la sinopsis; leer la sinopsis; acortar la sinopsis; revisar la sinopsis
el metraje,the footage/footage length,media,revisar el metraje; exceder el metraje; montar el metraje; seleccionar el metraje
el estreno,the premiere,media,programar el estreno; posponer el estreno; promocionar el estreno; asistir al estreno
el largometraje,the feature film,media,proyectar el largometraje; financiar el largometraje; producir el largometraje; distribuir el largometraje
la reseña,the review,media,publicar la reseña; escribir la reseña; valorar la reseña; citar la reseña
el patrocinio,the sponsorship,media,negociar el patrocinio; buscar el patrocinio; rechazar el patrocinio; gestionar el patrocinio
el tiraje,the print run,media,aumentar el tiraje; limitar el tiraje; agotar el tiraje; supervisar el tiraje
la cabecera,the publication header/masthead,media,renovar la cabecera; diseñar la cabecera; gestionar la cabecera; imprimir la cabecera
el audiolibro,the audiobook,media,grabar el audiolibro; editar el audiolibro; comercializar el audiolibro; escuchar el audiolibro
el algoritmo,the algorithm,media,ajustar el algoritmo; modificar el algoritmo; aplicar el algoritmo; entrenar el algoritmo
el alcance,the reach,media,maximizar el alcance; medir el alcance; reducir el alcance; analizar el alcance
la crónica,the chronicle,media,redactar la crónica; publicar la crónica; enviar la crónica; revisar la crónica
